latitude,max_temp,humidity,cloudiness,wind_speed
62.45,255.37,76,40,3.1
62.89,272.15,80,5,6.7
64.25,272.92,65,100,4.86
-46.19,285.37,63,35,8.49
-23.12,299.34,78,94,5.45
18.62,295.1,80,71,0.83
-53.16,284.15,62,75,3.1
-20.34,298.15,94,75,5.75
-9.8,300.06,73,0,7.03
49.72,264.15,85,90,0.95
70.62,244.94,97,46,2.15
34.47,288.15,30,1,2.1
-33.64,292.59,45,26,0.89
71.97,245.82,97,98,2.71
-33.21,298.57,42,0,8.82
-17.52,294.66,93,100,2.88
19.71,301.15,58,1,4.1
71.64,245.62,85,100,3.76
-33.93,292.04,88,19,7.2
47.55,280.93,93,0,2.6
37.46,287.59,71,75,4.32
-0.41,296.6,66,14,0.87
33.19,292.15,88,90,2.1
51.26,263.15,85,90,4.1
47.66,273.15,86,75,8.7
-46.28,283.29,72,92,15.44
37.02,284.26,81,0,2.6
-34.42,290.93,86,0,0.89
5.42,302.15,62,20,6.2
-46.43,290.01,59,13,5.74
38.52,289.27,92,87,6.64
29.06,289.15,82,0,3.6
-36.63,299.15,39,0,5.7
13.78,300.49,77,6,10.09
-23.58,304.69,35,21,5.75
68.75,255.91,64,0,4.61
38.42,268.92,60,100,1.46
28.68,283.75,81,100,1.9
-33.59,293.71,98,100,4.25
-21.21,300.15,74,8,7.2
64.27,251.72,99,100,0.5
-33.02,297.04,96,85,4.21
22.08,300.15,61,20,7.7
36.62,289.26,58,1,3.36
77.48,232.95,97,100,2.49
64.42,247.45,72,0,4.08
60.72,258.15,84,90,5.1
14.9,294.79,73,88,4.57
15.34,284.15,100,40,0.65
-54.81,282.15,70,75,6.7
11.42,287.16,18,0,2.6
60.79,250.15,76,1,6.7
70.47,239.15,66,1,2.6
35.73,282.04,52,75,3.6
54.41,276.46,93,100,7.33
35.03,287.04,93,72,4.1
62.16,275.15,64,54,6.2
41.42,276.57,94,3,1.83
63.84,269.15,68,100,5.7
-20.01,298.15,94,75,4.17
-34.53,293.15,68,8,0.5
35.27,275.93,54,20,5.7
13.9,299.96,79,79,9.82
59.7,276.48,74,40,4.0
23.99,281.15,49,5,3.6
-38.31,294.12,65,0,5.67
5.28,302.15,74,75,2.6
73.51,250.12,94,6,5.9
-25.24,299.15,69,75,5.7
-24.93,297.15,73,75,1.43
-39.37,292.15,82,0,3.1
50.68,269.34,81,100,7.41
-15.55,291.85,94,100,2.1
18.39,286.15,62,0,2.97
-0.74,297.04,83,12,1.79
9.49,298.82,76,100,6.81
65.61,267.15,31,100,8.2
31.86,285.15,46,75,8.2
56.26,267.06,90,100,7.55
